company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Silicon Cloud,Comcores,semiconductor,2013-08-01,$1M to $10M,01-10,0.0,3.0,Singapore,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,1.0,Denmark,0.0,0
Scintera Networks,ENrG,semiconductor,2001-01-01,$10M to $50M,5001-10000,0.0,6.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Celeno,A-1 Machine Manufacturing,semiconductor,2005-01-01,$10M to $50M,51-100,0.0,12.0,Israel,0.0,semiconductor,1977-01-01,$50M to $100M,01-10,0.0,1.0,United States,0.0,0
Vectron International,JML Optical Industries,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,1972-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
H2OPTX,Microlytic,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
ACME Advanced Materials,Flex Logix Technologies  Inc.,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,3.0,United States,0.0,0
Brite Semiconductor,e-peas,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,0
Orthogonal,Active-Semi International Inc.,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2004-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
FSI International,Teklatech,semiconductor,1973-01-01,more. ,101-500,0.0,1.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,2.0,Denmark,0.0,0
Indice Semiconductor,Usound,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,0
SatixFy,BitWave,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
Brolis Semiconductors,HexaTech,semiconductor,2011-08-09,$1M to $10M,11-50,0.0,1.0,Lithuania,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Flex Logix Technologies  Inc.,Altobeam,semiconductor,2014-01-01,$1M,11-50,0.0,3.0,United States,0.0,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,0
Lynx Software Technologies,Altobeam,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,0
VSORA,Cooledge Lighting,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Excillum,Blu Wireless,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,1.0,Sweden,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,11.0,United Kingdom,0.0,0
Silicon Cloud,Teklatech,semiconductor,2013-08-01,$1M to $10M,01-10,0.0,3.0,Singapore,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,2.0,Denmark,0.0,0
Multiphoton Optics GmbH,TriLumina Corp,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
NantWorks,SiOnyx,semiconductor,2010-01-01,$100M to $500M,51-100,0.0,1.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Extoll GmbH.,Lyncean Technologies,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Tempo Automation,Eblana Photonics,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
Dresden Silicon,MSG Lithoglas,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,1.0,Germany,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Surrey NanoSystems,Movellus,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,0
Open Silicon,Lynx Software Technologies,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
ASIC Engineering Corporation,Elenion Technologies LLC,semiconductor,1996-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,0
ActLight,TriLumina Corp,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Scifiniti,Fresco Microchip,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,semiconductor,2004-01-01,design and manufacture of frequency control devices including- Packaged Quartz,101-500,0.0,3.0,Canada,0.0,0
PSI Semicon Services,Nexdot,semiconductor,1946-01-01,$1M to $10M,1001-5000,0.0,1.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,3.0,France,0.0,0
Reveal Design Automation,NplusT,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
Tortuga logic,MSG Lithoglas,semiconductor,2014-01-01,$1M,11-50,0.0,4.0,United States,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Tactus Technology,Microlytic,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
UbiQD,Critical Links,semiconductor,2014-02-26,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2006-11-01,$1M to $10M,101-500,0.0,4.0,United States,0.0,0
Oree Advanced Illumination Solutions,Tempow,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,Israel,0.0,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,0
EpiGaN,Paragraf,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Hailo,Octasic,semiconductor,2017-02-02,$1M to $10M,51-100,0.0,7.0,Israel,0.0,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Fresco Microchip,ReVibe Energy,semiconductor,2004-01-01,design and manufacture of frequency control devices including- Packaged Quartz,101-500,0.0,3.0,Canada,0.0,semiconductor,2014-01-01,$1M,01-10,0.0,6.0,Sweden,0.0,0
BiTMICRO Networks Inc,MSG Lithoglas,semiconductor,1995-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
eoSemi,Sckipio Technologies,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,4.0,United Kingdom,0.0,semiconductor,2012-01-01,$10M to $50M,51-100,0.0,10.0,Israel,0.0,0
Lyncean Technologies,Kalray,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,8.0,France,0.0,0
Comcores,Exnodes Inc.,semiconductor,2014-01-01,$1M,11-50,0.0,1.0,Denmark,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,0
Ferfics,4wave,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Cleanpart Group,Altobeam,semiconductor,1998-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,0
Lynx Software Technologies,Wave Computing,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
TriLumina Corp,Netronome Systems,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
H2OPTX,Humavox Wireless Charging,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2010-07-01,$1M to $10M,11-50,0.0,1.0,Israel,0.0,0
Coherix,Reveal Design Automation,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
Coherix,Matrix Industries,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Fresco Microchip,SatixFy,semiconductor,2004-01-01,design and manufacture of frequency control devices including- Packaged Quartz,101-500,0.0,3.0,Canada,0.0,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,0
Sheaumann Laser,Avogy,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
eoSemi,Eblana Photonics,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,4.0,United Kingdom,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
Engim,BiTMICRO Networks Inc,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,1995-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
Ferfics,SatixFy,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,0
Telink,Rockley Photonics,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Excillum,Tehuti Networks,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,1.0,Sweden,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,0
AltraTech,Luxcore,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,4.0,Ireland,0.0,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,0
TriLumina Corp,Inpria Corporation,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Pixpolar,Cooledge Lighting,semiconductor,2006-01-01,$1M,01-10,0.0,1.0,Finland,0.0,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
Dover Microsystems,Credo Semiconductor,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Floadia Corporation,Matrix Industries,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Japan,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Surrey NanoSystems,Acconeer,semiconductor,2005-01-01,$50M to $100M,11-50,0.0,4.0,United Kingdom,0.0,semiconductor,2012-01-01,$1M to $10M,11-50,0.0,4.0,Sweden,0.0,0
SmartKem,Extoll GmbH.,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Avogy,Revasum,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
OmniTek,SVXR,semiconductor,1991-01-01,$1M to $10M,11-50,0.0,1.0,United Kingdom,0.0,semiconductor,2013-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
Engim,Revasum,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Samplify Systems,Kyma Technologies,semiconductor,2006-01-01,$10M to $50M,11-50,0.0,4.0,United States,0.0,semiconductor,1998-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Qualtera,AnDAPT,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,France,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
DensBits Technologies,Nanotronics Imaging,semiconductor,2007-01-01,$10M to $50M,51-100,0.0,3.0,Israel,0.0,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,0
Paragraf,Engim,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Reveal Design Automation,Bosch Rexroth Corporation,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2001-05-01,$10M to $50M,10001+,0.0,1.0,United States,0.0,0
LucidPort Technology,Lime Microsystems,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2005-03-01,$1M to $10M,11-50,0.0,6.0,United Kingdom,0.0,0
Gigoptix,Tehuti Networks,semiconductor,2001-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,0
EoPlex Technologies,Pixpolar,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2006-01-01,$1M,01-10,0.0,1.0,Finland,0.0,0
Silicon Genesis,Rockley Photonics,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Ikon Semiconductor,Fortemedia,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,1996-01-01,$10M to $50M,51-100,0.0,2.0,United States,0.0,0
LucidPort Technology,DensBits Technologies,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2007-01-01,$10M to $50M,51-100,0.0,3.0,Israel,0.0,0
Sheaumann Laser,Netronome Systems,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
Tela Innovations,Tactus Technology,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,0
Liquid X,Brite Semiconductor,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,0
Vayyar,Luxcore,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Israel,0.0,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,0
Credo Semiconductor,Netronome Systems,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
EoPlex Technologies,Wave Computing,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,0
Celeno,Plunify,semiconductor,2005-01-01,$10M to $50M,51-100,0.0,12.0,Israel,0.0,semiconductor,2009-11-09,$1M to $10M,11-50,0.0,3.0,Singapore,0.0,0
Tortuga logic,Tempow,semiconductor,2014-01-01,$1M,11-50,0.0,4.0,United States,0.0,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,0
Altobeam,Open Silicon,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,0
Luxcore,Bantam Tools,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,6.0,United States,0.0,0
Sckipio Technologies,Ferroelectric Memory Company,semiconductor,2012-01-01,$10M to $50M,51-100,0.0,10.0,Israel,0.0,semiconductor,2016-01-01,$1M to $10M,01-10,0.0,3.0,Germany,0.0,0
Oree Advanced Illumination Solutions,Caliopa,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,Israel,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,0
Amalfi Semiconductor,Lynx Software Technologies,semiconductor,2003-01-01,$1M to $10M,51-100,0.0,4.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
Cooledge Lighting,Lion Semiconductor Inc,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
ActLight,Netronome Systems,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
Nexdot,ActLight,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,3.0,France,0.0,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,0
Nantero,Exnodes Inc.,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,0
CNEX Labs,TRINAMIC Motion Control,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,0
BinaryWave,Fresco Microchip,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2004-01-01,design and manufacture of frequency control devices including- Packaged Quartz,101-500,0.0,3.0,Canada,0.0,0
Eblana Photonics,Cleanpart Group,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,semiconductor,1998-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,0
Aveni,HexaTech,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,13.0,France,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Qualtera,TeraView,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,France,0.0,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,0
Ikon Semiconductor,LucidPort Technology,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Synapse,SponDoolies-Tech,semiconductor,2003-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,0
AGLOGIC,ScandiNova,semiconductor,1995-02-22,$1M to $10M,11-50,0.0,2.0,China,0.0,semiconductor,2001-01-01,$1M,51-100,0.0,1.0,Sweden,0.0,0
Polymer Holding Corporation,BinaryWave,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Eblana Photonics,Saphlux,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,8.0,United States,0.0,0
Lattice Power,FSI International,semiconductor,2006-01-01,$100M to $500M,501-1000,0.0,7.0,China,0.0,semiconductor,1973-01-01,more. ,101-500,0.0,1.0,United States,0.0,0
BlueShift Technologies,Palma Ceia SemiDesign  Inc.,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2012-04-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Open-Silicon,Tempow,semiconductor,2003-01-01,$10M to $50M,101-500,0.0,5.0,United States,0.0,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,0
Revasum,Ferfics,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
PSI Semicon Services,GrAI Matter Labs,semiconductor,1946-01-01,$1M to $10M,1001-5000,0.0,1.0,United States,0.0,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,0
Ascatron,eSilicon,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,3.0,Sweden,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,0
Intel,LucidPort Technology,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Satin Technologies,Silicon Genesis,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,0
Matrix Industries,BinaryWave,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Ikon Semiconductor,Avogy,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Nanotron Technologies,Elenion Technologies LLC,semiconductor,1991-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,semiconductor,2014-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,0
BiTMICRO Networks Inc,GreenRay Solar,semiconductor,1995-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Usound,Ikon Semiconductor,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
Skorpios Technologies,eSilicon,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,0
Telink,H2OPTX,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,0
Caliopa,EoPlex Technologies,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
XSI Semi Conductors,Lyncean Technologies,semiconductor,2012-01-01,$10M to $50M,11-50,0.0,1.0,India,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Dover Microsystems,Scifiniti,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,0
Silicon Cloud,LucidPort Technology,semiconductor,2013-08-01,$1M to $10M,01-10,0.0,3.0,Singapore,0.0,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Indice Semiconductor,Mythic,semiconductor,2014-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2012-05-01,$1M to $10M,11-50,0.0,12.0,United States,0.0,0
Qualtera,Brite Semiconductor,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,France,0.0,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,0
Syndiant,Revasum,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Exnodes Inc.,Think Silicon S.A.,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,0
Tempow,Dover Microsystems,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
BitWave,Particle,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,0
DFMSim,Viviota,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,0
MTPV,TeraView,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,9.0,United States,0.0,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,0
Think Silicon S.A.,Skorpios Technologies,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,0
AnDAPT,NplusT,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
TimeLab,Reveal Design Automation,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
